id,Q1_labeled,Q2_labeled,Q3_labeled,Q4_labeled,Q5_labeled,Q1_conv,Q2_conv,Q3_conv,Q4_conv,Q5_conv,all_correct
conv_509,No,No,No,No,No,NO,"YES - No specific question about age was asked, but BOWMAN mentions 'why are we going?' which could imply a curiosity about the mission's purpose",NO,NO,NO,False
conv_510,No,No,No,No,No,NO,"YES - CHILD: ""I'm fine, Daddy. When are you coming home?"" (implying asking about Father's return)",NO,NO,NO,False
conv_511,No,No,Yes - Child mentions having a party tomorrow,No,No,NO,YES - CHILD: 'When are you coming home?' (implying interest in FLOYD's schedule),NO,NO,NO,False
conv_512,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_513,No,No,Yes - Reference to birthday party tomorrow,No,No,NO,NO,NO,NO,NO,False
conv_514,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_515,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_516,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_517,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_518,No,No,No,No,No,NO,"YES - ELENA: 'Are you sure you won't change your mind about a drink?' (implying asking about drink preferences, but not explicitly asking for age)",NO,NO,NO,False
conv_519,No,No,Yes - Reference to IAC conference in June,No,No,NO,NO,NO,NO,NO,False
conv_520,No,No,No,No,No,NO,NO,"YES - FLOYD said 'How do you do, Mr. Miller?' and MILLER replied saying he was on his way down to meet FLOYD",NO,NO,False
conv_521,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_522,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_523,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_524,No,No,Yes - Discussion about going to moon base,No,No,NO,NO,NO,NO,NO,False
conv_525,No,No,No,No,No,NO,"YES - SMYSLOV: Well, it's just for the past two weeks there have been some extremely odd things happening at Clavius.",NO,NO,NO,False
conv_526,No,No,No,No,No,NO,"YES - FLOYD: ""You mean you haven't been able to get anyone at the base for ten days?""",NO,NO,NO,False
conv_527,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_528,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_529,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_530,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_531,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_532,No,No,No,No,No,NO,"YES - ""But you don't have any idea as to what it is?"" (FLOYD)",NO,NO,NO,False
conv_533,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_534,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_535,No,No,No,No,No,NO,"YES - PILOT: 'Incidentally, Dr. Floyd, I wonder if I can have a word with you about the security arrangements?'",NO,NO,NO,False
conv_536,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_537,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_538,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_539,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_540,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_541,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_542,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_543,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_544,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_545,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_546,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_547,No,No,No,No,No,NO,"YES - [ speaker='ATTENDANT', text='Name?' ]",NO,NO,NO,False
conv_548,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_549,No,No,No,No,No,NO,NO,NO,"YES - The attendant offers to sell Luther gas: ""I'll even sell you some gas if you need it.""",NO,False
conv_550,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_551,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_552,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_553,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_554,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_555,No,No,Yes - Discussion about getting girls,Yes - Reference to buying girls,No,NO,NO,NO,NO,NO,False
conv_556,No,No,Yes - Discussion about paying for girls,Yes - Discussion about paying for girls,No,NO,YES - No evidence found in conversation,NO,YES - GANZ says 'We'll pay for the girls and have a good time...',NO,False
conv_557,No,No,No,No,No,NO,"YES - BILLY: 'He's just kiddin', you just keep doin' what I tell ya, you'll be okay.'",NO,NO,NO,False
conv_558,No,No,No,No,No,NO,"YES - BILLY: Hey, what about me?",NO,YES - GANZ: And I need one more for my pal. Yeah. Make her an Indian.,NO,False
conv_559,No,No,No,No,No,NO,YES - HAMMOND: 'You a schoolteacher...',NO,NO,NO,False
conv_560,No,No,No,No,No,NO,"YES - CANDY: ""Hey, don't you think a hair stylists got any interest in gettin' it on?""",NO,"YES - HAMMOND: ""Here you go sweetheart, throw it my way.""",NO,False
conv_561,No,No,Yes - Suggestion to go to a place across the street,No,No,NO,"YES - CANDY: ""You just quit bein' a priest or somethin'?"" (implying she's trying to understand Hammond's situation, but not explicitly asking his age)","YES - HAMMOND: ""Look, there's a place across the street. We can go right over there...""",NO,NO,False
conv_562,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_563,No,No,Yes - Reference to having a party,No,No,NO,NO,NO,NO,NO,False
conv_564,No,No,No,Yes - Offering money,No,NO,"YES - 'I said I wasn't a pro, remember?' - CANDY",NO,YES - 'Buy yourself something pretty' - HAMMOND,NO,False
conv_565,No,No,Yes - Offer of dinner and dancing,No,No,NO,NO,"YES - ""I'll buy ya the best dinner in San Francisco...how'd that be? Then we'll go dancin', okay?""","YES - ""I'll buy ya the best dinner in San Francisco...how'd that be? Then we'll go dancin', okay?""",NO,False
conv_566,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_567,No,No,No,No,No,NO,YES - CATES: How about it?,NO,NO,NO,False
conv_568,No,No,No,No,No,NO,"YES - 'Would you guys...' (implied question about age or status, but not explicitly stated)",NO,NO,NO,False
conv_569,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_570,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_571,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_572,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_573,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_574,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_575,No,No,No,No,No,NO,"YES - 'You here to write my life story?' (HAMMOND) - implies asking about personal info, but not directly age; however, 'Not likely, Reggie.  Maybe I just need some help.' (CATES) - response doesn't ask for age explicitly, but HAMMOND's question can be seen as indirectly seeking personal info.",NO,NO,NO,False
conv_576,No,No,No,No,No,NO,NO,"YES - CATES: ""Nice meeting you Reggie."" (implying a previous meeting, but not explicitly stating where)",NO,NO,False
conv_577,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_578,No,No,No,No,No,NO,NO,NO,YES - CATES: This prison gives out $400 suits?,NO,False
conv_579,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_580,No,No,No,No,No,NO,NO,NO,YES - You got a girl... shit... the generosity of women never ceases to amaze me.,NO,False
conv_581,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_582,No,No,No,No,No,NO,NO,NO,"YES - CATES: Yeah. (implying they have done something), HAMMOND: It looks like you bought it off one of the brothers.",NO,False
conv_583,No,No,No,No,No,NO,"YES - HAMMOND: What gang you talkin' about, Jack?",NO,NO,NO,False
conv_584,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_585,No,No,No,No,No,NO,NO,"YES - Over there, just up the street",NO,NO,False
conv_586,No,No,No,No,No,NO,"YES - No, there's no question about age, but rather a statement by Hammond: ""I got a whole thing about people pointin' guns at me.""",NO,NO,NO,False
conv_587,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_588,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_589,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_590,No,No,No,No,No,NO,YES - 'Who'd you call on the phone back at the booking station?' (HAMMOND),NO,NO,NO,False
conv_591,No,No,No,No,No,NO,"YES - HAMMOND: 'You really do have onee, huh, Jack... what's her problem besides you?'",NO,NO,NO,False
conv_592,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_593,No,No,No,No,No,NO,"YES - HAMMOND: Last night, two nights ago, three?",NO,NO,NO,False
conv_594,No,No,No,No,No,NO,YES - HAMMOND: You have a good time?,NO,NO,NO,False
conv_595,No,No,No,No,No,NO,"YES - HAMMOND: 'Tell me a little about her.' No direct question about age, but HAMMOND is asking for more information.",NO,NO,NO,False
conv_596,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_597,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_598,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_599,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_600,No,No,No,No,No,NO,NO,NO,"YES - CATES: ""here, I'll even loan you my badge.""",NO,False
conv_901,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_902,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_903,No,No,No,No,Yes - Reference to watching something,NO,NO,NO,NO,NO,False
conv_904,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_905,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_906,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_907,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_908,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_909,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_910,No,No,No,No,No,NO,"YES - 'What's he talking about?' (EDDIE) - This is an indirect way of asking about someone's age or information, but it's not a direct question.",NO,NO,NO,False
conv_911,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_912,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_913,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_914,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_915,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_916,No,No,No,No,No,NO,YES - EDDIE: Why?,NO,NO,NO,False
conv_917,No,No,No,No,No,NO,NO,NO,NO,YES - WELLES: 'Show me.'; EDDIE: 'Took it out the bathroom window. Buried it in the woods.' (implying a crime scene),False
conv_918,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_919,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_920,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_921,No,No,No,No,Yes - Reference to tapes,NO,NO,NO,NO,"YES - ""You know how my tapes sell.  People eat this stuff up."" (referring to video tapes)",True
conv_922,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_923,No,No,No,No,Yes - Reference to film,NO,NO,NO,NO,NO,False
conv_924,No,No,No,No,No,NO,NO,NO,NO,"YES - WELLES: 'You found these smut dealers and asked to buy a snuff film, right?'",False
conv_925,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_926,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_927,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_928,No,No,No,No,Yes - Reference to film,NO,NO,NO,NO,NO,False
conv_929,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_930,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_931,No,No,No,No,No,NO,"YES - MAX: Big date tonight? (implying a relationship, but not directly asking for age)",NO,YES - MAX: Can I interest you in a battery operated-vagina? (offering a product),NO,False
conv_932,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_933,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_934,No,No,No,No,No,NO,"YES - ""WELLES"": 'Remember me?'...This sentence implies WELLES is asking MAX if they remember him, but it doesn't explicitly ask for age. However, MAX's response ""Came back for that battery-operated vagina, right?  Told you you would."" does not indicate a request for age either.",NO,NO,NO,False
conv_935,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_936,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_937,No,No,No,No,No,NO,"YES - WELLES: 'How long you been working there?' (implying asking about Max's age, but not directly)","YES - MAX: 'Tomorrow night, I get off at eight.' (implying meeting up the next night, but no specific location mentioned)","YES - WELLES: 'Here's my number if you need it...  When can you start?' (giving Max his phone number, implying a job or task)",NO,False
conv_938,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_939,No,No,No,No,Yes - Discussion about pornography,NO,"YES - No specific question about age was asked, but 'you're a young man' implies MAX might be guessing WELLES' age.",NO,"YES - MAX mentioned 'videos a week' implying he's involved in buying or selling videos, but no specific gift-giving was mentioned.","YES - MAX mentioned '150 videos a week' and WELLES asked about 'illegal films', implying they're discussing existing videos.",False
conv_940,Yes - States age as 25,No,No,No,No,YES - MAX: Twenty-five.,YES - WELLES: How old are you?,NO,NO,NO,False
conv_941,No,No,No,No,Yes - Reference to films,NO,NO,YES - WELLES: 'What do you say to flying out and giving me a hand?' (implying meeting up in New York),NO,"YES - MAX: 'He cuts all kinds of other stuff into his movies; photographs, newsreel footage...' (referring to Dino Velvet's films), WELLES: 'Dig up whatever Dino Velvet films you can. Get receipts.' (requesting video information)",False
conv_942,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_943,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_944,No,No,No,No,No,NO,YES - MAX: Wha... ? (implying confusion or lack of information),NO,NO,NO,False
conv_945,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_946,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_947,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_948,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_949,No,No,No,No,No,NO,NO,NO,YES - WELLES: It's money.  People use it to purchase goods and services.,NO,False
conv_950,No,No,No,No,No,NO,NO,NO,YES - WELLES: It's not my money. The woman I got it from is never going to give it a second thought.,NO,False
conv_951,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_952,No,No,No,No,No,NO,"YES - MRS CHRISTIAN said 'Apparently Mr. Longdale has something he feels he simply must say before you and I speak.' implying she is asking Mr. Longdale to speak, but not directly asking his age",NO,NO,NO,False
conv_953,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_954,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_955,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_956,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_957,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_958,No,No,No,No,No,NO,"YES - 'Do you carry a gun, Mr. Welles?' (from speaker MRS CHRISTIAN)",NO,NO,NO,False
conv_959,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_960,No,No,No,No,Yes - Reference to film,NO,NO,NO,NO,NO,False
conv_961,No,No,No,No,Yes - Reference to film,NO,NO,NO,NO,NO,False
conv_962,No,No,No,No,Yes - Discussion about film,NO,NO,NO,NO,NO,False
conv_963,No,No,No,No,Yes - Reference to film,NO,NO,NO,NO,NO,False
conv_964,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_965,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_966,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_967,No,No,No,No,No,NO,NO,NO,"YES - WELLES: 'I'd like you to overnight me a copy of those checks, then put them in a safe deposit box.'",NO,False
conv_968,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_969,No,No,No,No,No,NO,NO,NO,"YES - ""I'll tell you how to send it."" (Welles is offering to explain how to send money)",NO,False
conv_970,No,No,No,No,No,NO,YES - MRS MATHEWS: Yes... ?,NO,NO,NO,False
conv_971,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_972,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_973,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_974,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_975,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_976,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_977,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_978,No,No,No,No,No,NO,YES - MRS MATHEWS: Are you religious?,NO,NO,NO,False
conv_979,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_980,No,No,No,No,No,NO,"YES - No specific question about age was asked, but 'You're probably right' by WELLES implies a possible assumption or calculation related to age.",NO,NO,NO,False
conv_981,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_982,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_983,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_984,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_985,No,No,No,No,No,NO,"YES - ['Who are you?', 'Who is this... ?']",NO,NO,NO,False
conv_986,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_987,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_988,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_989,No,No,No,No,No,NO,NO,NO,"YES - Welles is asked to deliver a suitcase to her parents: 'Can you get this suitcase to her parents, if you think it's appropriate?'",NO,False
conv_990,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_991,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_992,No,No,No,No,No,NO,NO,NO,YES - WELLES: 'Cash.' (implied purchase),NO,False
conv_993,No,No,No,No,No,NO,"YES - SALESPERSON: 'Alright.  May I have your phone number, area code first?'",NO,NO,NO,False
conv_994,No,No,No,No,No,NO,NO,NO,"YES - The SALESPERSON sold items (""I'm required by state law..."", ""bag it, I'll be on my way"")",NO,False
conv_995,No,No,No,No,No,NO,"YES - RICK: ""Don't you think it kind of defeats the purpose?""",NO,NO,NO,False
conv_996,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_997,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_998,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_999,No,No,No,No,No,NO,"YES - ""You alright?"" by RICK",NO,NO,NO,False
conv_1000,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_301,No,No,No,No,No,NO,YES - 'Your father put cigarettes out on you?' (CUTLER),NO,NO,NO,False
conv_302,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_303,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_304,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_305,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_306,No,No,Yes - Request to go to Jordy's place to take a shower,No,No,NO,YES - DAPHNE: Are you married?,YES - DAPHNE: Could we stop at your place? I could take a shower...before I go into custody?,NO,NO,False
conv_307,No,No,"Yes - Asks about going ""somewhere else""",No,No,NO,NO,"YES - JORDY said 'I can't take you to my place.' which implies a physical location, and DAPHNE asked 'Somewhere else?' suggesting they want to meet up somewhere",NO,NO,True
conv_308,No,No,Yes - Going to empty fire station,No,No,NO,NO,"YES - JORDY's text: 'This way.' (implying a physical location, possibly the fire station)",NO,NO,True
conv_309,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_310,No,No,No,No,No,NO,YES - 'So you were never a prostitute?' (JORDY),NO,NO,NO,False
conv_311,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_312,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_313,No,No,No,No,No,NO,YES - JORDY: Is he your boyfriend?,NO,NO,NO,False
conv_314,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_315,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_316,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_317,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_318,No,No,No,No,No,NO,"YES - ...Do you really want me to forget about you?' (implied, but not directly asked)",NO,NO,NO,False
conv_319,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_320,No,No,No,No,No,NO,"YES - 'If I tell you, will you arrest me?'",NO,NO,NO,False
conv_321,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_322,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_323,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_324,No,No,No,No,No,NO,YES - 'Who did cause and origin?' (DUFFY),NO,NO,NO,False
conv_325,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_326,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_327,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_328,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_329,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_330,No,No,No,No,No,NO,NO,YES - DUFFY: Swing by her apartment.,NO,YES - KORFIN: Yeah.  He finished awhile ago.,False
conv_331,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_332,No,No,No,No,No,NO,"YES - No specific question about age was found, but there is a mention of 'some kid' which implies an inquiry about the perpetrator's age in general conversation.",NO,NO,NO,False
conv_333,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_334,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_335,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_336,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_337,No,No,No,No,No,NO,NO,"YES - EDDIE: ""C'mere."" (implying a physical meeting)",NO,NO,False
conv_338,No,No,No,No,No,NO,"YES - EDDIE: ""The other side of the street.  The guy with the videocamera."" (implying curiosity, but no direct question about age)",NO,NO,"YES - EDDIE: ""The guy with the videocamera."" (referring to a person with a camera)",False
conv_339,No,No,No,No,No,NO,"YES - 'EDDIE', 'text': 'Are you hit?'",NO,NO,NO,False
conv_340,No,No,No,No,Yes - Reference to filming,NO,NO,NO,NO,YES - ['He got my gun!  Motherfucker was filming the whole time!'],True
conv_341,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_342,No,No,No,No,No,NO,"YES - 'What's wrong?' (ROSE) - This question is not about age, but it implies a request for information, however, there's no explicit ask for age. Still, there's another part: 'We don't have her I.D. yet' (EDDIE), which does imply an inquiry related to identification, but the conversation continues without asking Eddie's ID or age.",NO,NO,NO,False
conv_343,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_344,No,No,No,No,No,NO,"YES - Eddie's text: 'What are you saying?' implies a question, but not specifically about age.",NO,NO,NO,False
conv_345,No,No,No,No,Yes - Reference to videocamera,NO,NO,NO,NO,NO,False
conv_346,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_347,No,No,No,No,No,NO,"YES - 'You know what that is, right?'",NO,NO,NO,False
conv_348,No,No,No,No,Yes - Reference to watching TV,NO,NO,NO,NO,NO,False
conv_349,No,No,No,No,No,NO,"YES - 'EDDIE', 'text': 'But I would like to ask you something.  You got a problem with me?'",NO,NO,NO,False
conv_350,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_351,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_352,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_353,No,No,No,No,No,NO,"YES - EDDIE: ""You're Polish?""",NO,NO,NO,False
conv_354,No,No,Yes - Request to ride along,No,No,NO,"YES - JORDY: ""You goin' to the escort service?"" (implying JORDY is asking EDDIE about his plans, but not directly asking for age)","YES - JORDY: ""Mind if I ride along with you?"" (implying a physical meeting or ride-along)",NO,NO,False
conv_355,No,No,Yes - Discussion about coming along,No,No,NO,NO,NO,NO,NO,False
conv_356,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_357,No,No,No,No,No,NO,NO,"YES - ""Leon - meet us at 63rd and Madison. Hair salon. Ludwig's.""",NO,NO,False
conv_358,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_359,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_360,No,No,No,No,No,NO,YES - JORDY: Why not? EDDIE: Something back home?,NO,NO,NO,False
conv_361,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_362,No,No,Yes - Request to talk alone,No,No,NO,YES - 'What would your girlfriend think of that?' by EDDIE,NO,NO,NO,False
conv_363,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_364,No,No,No,No,No,NO,"YES - EDDIE: ""Well, you shoulda because nobody's gonna believe you didn't...including me."" (implying Eddie wants proof of Jordy's innocence)",NO,NO,NO,False
conv_365,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_366,No,No,No,No,No,NO,YES - JORDY: Why'd you help me back there with the Chief?  Why'd you stand up for me like that?,NO,NO,NO,False
conv_367,No,No,No,No,Yes - Discussion about making a movie,NO,"YES - 'EDDIE', 'text': 'What's your accomplishment.'",NO,NO,NO,False
conv_368,No,No,No,No,Yes - Reference to filming,NO,NO,NO,NO,NO,False
conv_369,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_370,No,No,Yes - Request to go to crime scene,No,No,NO,"YES - NICOLETTE: 'Detective, does it look like a murder?' (implying she's asking about the crime scene)",NO,NO,NO,False
conv_371,No,No,No,No,No,NO,"YES - 'Detective - can you tell us what happened here?' (NICOLETTE is asking EDDIE a question, but it's not about his age)",NO,NO,NO,False
conv_372,No,No,No,No,Yes - Reference to filming,NO,"YES - NICOLETTE: 'I understand, but I noticed that the Fire Marshall is here with you.  Is this somehow related to the fire department?'",NO,NO,NO,False
conv_373,No,No,No,No,No,NO,"YES - 'Eddie, are you okay?' by NICOLETTE",NO,NO,NO,False
conv_374,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_375,No,No,No,No,No,NO,"YES - NICOLETTE: 'Well, who was it that taught me how to do that?  Huh?' (implying Eddie is referencing his past)",NO,NO,YES - NICOLETTE: 'That was good.  You were holding the evidence.' (implying a camera or filming),False
conv_376,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_377,No,No,No,No,No,NO,YES - EDDIE: Answer the phone.,NO,NO,NO,False
conv_378,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_379,No,No,Yes - Plans to meet later,No,No,NO,NO,NO,NO,NO,False
conv_380,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_381,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_382,No,No,No,No,No,NO,YES - 'How old are you?' (said by EDDIE),NO,NO,NO,False
conv_383,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_384,No,No,Yes - Reference to going to a party,No,No,NO,NO,NO,NO,NO,False
conv_385,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_386,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_387,No,No,No,No,No,NO,YES - HAWKINS: Any chance we can do that again?,NO,NO,NO,False
conv_388,No,No,No,No,No,NO,YES - SECONDARY OFFICER: You're a butcher?  What do you use pig intestines for?,NO,NO,NO,False
conv_389,No,No,No,No,No,NO,"YES - ""Are you married?"" (SECONDARY OFFICER)",NO,NO,NO,False
conv_390,No,No,Yes - Request to meet at 45 Broadway at 4 o'clock,No,No,NO,NO,YES - EMIL: 'Come to 45 Broadway. Don't bring the Police. Come alone or you'll be in my next film.',YES - EMIL: 'Three hundred thousand dollars.' (requesting money),NO,False
conv_391,No,No,No,No,No,NO,YES - 'Were you a fireman?  That how you knew how to rig the apartment?' (JORDY),NO,NO,NO,False
conv_392,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_393,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_394,No,No,No,No,No,NO,YES - 'JORDY' text: Where's your partner? (implied interest in Emil),YES - 'EMIL' text: The Sheraton!  On Broadway!  Room 210.,NO,NO,False
conv_395,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_396,No,No,No,No,No,NO,YES - EMIL: Where's Czech girl?,NO,NO,NO,False
